Area,ImageCount,InFront,Location.__lat__,Location.__lon__,ArchStyle,Address,Popup,Name,ShortName,EstimatedValue,YearBuilt,SquareFeet,LotSize,Notes,Website
Hingham Square,1,,42.2421163,-70.8895,,51 South St,,MAHI GOLD Outfitters,Clothing,,,,,"<strong>WHO WE ARE</strong><br/><br>Raised by the waves<br/><br/>We’re a family company with roots in a small coastal town - Chatham. To us, days spent by the water with family and friends are the best days there are. So, we make and curate clothing that’s made for those days.",https://www.mahigold.com/pages/mahi-gold-outfitters
Crow Point,1,,42.2495208,-70.9048478,,193 Lincoln St,,Texture & Gloss,,,,,,"<div style=""text-align:center;""><strong>About us</strong><br/><br/>We are located in the heart of Cohasset village off of Route 3A. Our cozy salon has a comfortable yet modern feel. From the charming exposed brick wall to our sleek stations and stylist chairs, there is a stylish blend of old and new.",http://www.textureandgloss.com/
East Hingham HM,1,,42.23411,-70.87098,Cape Cod,111 Leavitt St,,Daniel Souther,Souther,"1,592,300",1781,2157,1.33,"The ""Deacon Jones house"" was built about 1720 by Benjamin Jones (or Joanes). Deacon Jones' descendants occupied the house for 6 generations, according to material prepared for the July 1959 Hingham House Tour. An earlier house erected on this property was burned and destroyed by the Indians at the outbreak of King Philip's War. Genealogical info about Benjamin Jones and his family follows:  Benjamin was born on the 1st of July 1694 in Hingham, and died on the 6th of October, 1755 in Hingham. He was a constable in 1731. He first resided at Hingham Center, referenced at the time as ‘over the Delaware'. In 1720 Benjamin built a dwelling-house on what is ow Jones Streeet, which is still standing, and ""in which all the Benjamin Joneses of this town from the date mentioned to the present time [1893] have resided."" Deacon Jones was the son of Benjamin (the younger) Jones (1666-1703) and Patience Jones (1667-1747). Deacon Jones married Mary Jordan (1696-1756) on the 30th of August 1720. They had 7 children together.",https://www.zillow.com/homedetails/111-Leavitt-St-Hingham-MA-02043/56640100_zpid/
Hingham Square HM,1,,42.24065,-70.88569,Gambrel Cottage,112 Main St,,Jacob Thaxter,Thaxter,"2,664,900",1774,3900,0.51,1774 home of Jacob Thaxter. Private residence.,https://www.redfin.com/MA/Hingham/112-Main-St-02043/home/16364536
Hingham Square HM,1,,42.23984,-70.88911,Queen Anne,24 Elm St,,Charles Graves,Graves,"1,813,800",1890,3278,0.42,,https://www.zillow.com/homedetails/24-Elm-St-Hingham-MA-02043/56639637_zpid/
Hull,1,,42.267057002696866,-70.85123819313263,,121 Nantasket Ave,,TOAST Hull,,,,,,WE ARE NOW OPEN FOR INSIDE DINING!,http://www.toastnantasketbeach.com/
Cohasset,1,,42.24081,-70.8022995,,21 S Main St,,Caitlin Beth,Salon,,,,,"<div style='text-align:left;'>Welcome to Caitlin Beth Skin Studio.  I offer a full range of services in waxing, facials and lashes, customized to your needs.</div>",http://caitlinbethskinstudio.com/
East Hingham HM,1,,42.24229,-70.86565,Cape Cod,59 Pleasant St,,Samuel Gill,Gill,"1,916,400",1769,3624,0.29,"Born ca 1740 in Hingham, MA. Samuel was baptized on 25 May 1740. Occupation: wig maker. Samuel resided on Pleasant St., Hingham, but late in life removed to Augusta, ME. On 31 Aug 1761 Samuel first married Sarah Hatch, daughter of Ebenezer Hatch (ca 1721-23 Apr 1756) & Sarah Turner (ca 1727-), in Hingham, MA. Born on 8 Feb 1745 in Pembroke, MA. Sarah died in Hingham, MA, on 18 Mar 1786; she was 41. They had 1 child together.",https://www.zillow.com/homedetails/59-Pleasant-St-Hingham-MA-02043/56640513_zpid/
Hingham Center,1,,42.23372,-70.88003,,274 Main St,,Eastern Bank,Bank,,,,,"<div style=""font-size:large;font-weight:800;""><strong>Our History</strong></div><br/>
Our history goes back over 200 years. We offer a full range of banking and wealth management solutions for consumers and businesses of all sizes, and we pride ourselves on working hard to understand our customers’ needs so we can deliver these services in a committed and personal way.<br/><br/>
<div style=""font-size:large;font-weight:800;""><strong>Our Growth</strong></div><br/>
Founded in 1818 and headquartered in Boston, we have combined prudent management with well-timed acquisitions to evolve from a modest savings bank to Greater Boston's leading local bank and the largest bank-owned independent investment advisor in Massachusetts. With roughly $25 billion in total assets and approximately 110 locations serving communities in eastern Massachusetts, southern and coastal New Hampshire, Rhode Island and Connecticut, we have the size, stability, technology and knowledge to deliver custom-financial solutions in a convenient way.<br/><br/>
<div style=""font-size:large;font-weight:800;""><strong>Our Services</strong></div><br/>
Whether you’re a consumer, business executive, investor, government agency or not-for-profit organization, Eastern Bank has the financial products to help you save, manage your money, build for the future or protect your assets.<br/>
<ul><li>We have an array of checking and savings accounts, online banking, mobile banking, branches that open at 7 a.m. and on Sundays, and many loan products.</li>
<li>We are a top lender to small businesses while serving their deposit needs.</li>
<li>We advise businesses both large and small in all areas of finance, including capital markets activities, equipment leasing, cash management, commercial real estate, international trade and foreign exchange services.</li>
<li>We provide the depth of product and financial expertise required by our Eastern Wealth Management clients, both individual and institutional.</li>
</ul>",https://www.easternbank.com/
Beacon Hill,1,,42.3567,-71.06989,,26 Charles St,"<img src=""https://res.cloudinary.com/backyardhiddengems-com/image/upload/Boston/Bin26EnotecaBG.png"" width=""bgWidth"" style=""margin-bottom:-10px;cursor:pointer;"" onclick=""window.open('http://bin26.com/');"" /><div class=""popup""><h1 style=""margin-bottom:24px;"">Bin 26 Enoteca is a Beacon Hill neighborhood restaurant with a seasonally driven menu and international list of old world wines.</h1><a href=""http://bin26.com/reservations-2/"" target=""_blank"">Reservations</a><br/><br/><a href=""http://bin26.com/bin26wordpress/wp-content/uploads/2022/04/Wine-BTG-2022-Wine-list-8.pdf"" target=""_blank"">Wines by the Glass &amp; Beer</a><br/><br/><a href=""http://bin26.com/bin26wordpress/wp-content/uploads/2022/04/Wine-BTG-2022-3.pdf"" target=""_blank"">Cellar List</a><br/><br/><a href=""http://bin26.com/bin26wordpress/wp-content/uploads/2022/04/Dinner-Menu-2022-4.pdf"" target=""_blank"">Dinner Menu</a><a href=""http://bin26.com/"" target=""_blank"" style=""margin-left:110px;"">Full Website</a></div>",Bin 26 Enoteca,,,,,,"<div style=""text-align:left;""><strong>About</strong><br/><br/>Bin 26 Enoteca is a Beacon Hill neighborhood restaurant with a seasonally driven menu and wine list. Bin 26 Enoteca boasts an international wine list with over sixty wines by glass and over two hundred wines by bottles. Guests can simply drop in for an informal dish of pasta or more formal, multi-course, haute cuisine.<br/><br/><strong>WHAT IS ENOTECA & WHY BIN 26?</strong><br/><br/>En-oh-TECK-a, a common term used mostly in Italy, refers to a place where one can find simple foods to accompany the wines served there. At Bin 26 Enoteca, we offer a menu designed for snacking and sharing, or a full meal. And oh boy, do we have a wine list too.<br/><br/>“Bin”, followed by a number, is a wine term for the physical location of where the bottle is located in the wine cellar. In this case, 26 Charles Street is the Bin in which our restaurant is located.<br/><br/>As part of our mission, we vow to support small family-run farms in New England and around the world. As a result, we use artisinal cured meats, imported cheeses, fresh seafood and vegetables – especially from around New England when possible.</div>",http://www.bin26.com/
Hingham Square,1,,42.2420981,-70.8896,,51 South St Unit 104,,TLC Real Estate Agency,Realtor,,,,,"<strong>About TLC Real Estate</strong><br/><br/>Hi, We're TLC Real Estate and we'd love to assist you. Whether you're in the research phase at the beginning of your real estate search or you know exactly what you're looking for, you'll benefit from having real estate professionals by your side. We'd be honored to put our real estate experience to work for you.",http://www.thetlccompanies.com/
Hingham Square HM,1,,42.24357,-70.88668,Colonial,67 North St,,Elijah Waters,Waters,unknown,,0,0,"Born on June 24th, 1729, in Hingham. He died on April 10th, 1796. Cooper, farmer, and inn-holder. Constable. Son of Daniel Waters (1691-1776) and Abigail Whiton (1697-1738). He married Mehitable Curtis (1734-1808) on March 31s, 1755. They had 11 children together.",https://www.apartments.com/67-north-st-hingham-ma/f15f90s/
South Hingham HM,1,,42.21058,-70.88449,Colonial/Federal,687 Main St,,Second Parish Church,Church,,,0,0,"For over 250 years, Second Parish in Hingham has been responding to not only the religious needs of its members and friends but also providing a place of community and fellowship for them. It was founded in 1746 as one of the churches of the “Standing Order” of the Massachusetts Bay Colony.<br/><br/>The Puritans who settled the colony in the 1630’s had dreamed of establishing a Biblical Commonwealth, a theocratic state. Farthest from their minds was the idea we later would call the separation of church and state. Meetinghouses were built and maintained and the salaries of the ministers were paid by taxes levied upon the citizens. Hingham’s First Parish Church had been gathered in 1635 and its members met for worship in downtown Hingham, the first section of Hingham to be settled.<br?><br/>Gradually there came to be a large enough number of residents in South Hingham to warrant the formation of a new church there and the construction of a new meeting-house. This meeting-house was raised in 1742 on land belonging to Theophilus Cushing, and the legislature of the colony was petitioned to allow the founding of a new parish. On March 25, 1746, the parish was formally set off from the First Parish by order of the General Court of the Massachusetts Bay Colony as the Third Parish. In 1770, as a result of some changes by the General Court to precinct designations involving Hingham and Cohasset, the Third Parish became the Second Parish, and remains so to this day. Second Parish tries to continue the basic function of the colonial parish church, serving the community as a whole, striving to fulfill its mission.",https://www.secondparish.org/
Fearing Farm HM,1,,42.24431,-70.88936,Greek Revival,52 Cottage St,,Joshua Leavitt,Leavitt,"2,565,500",1845,3737,0.79,,https://www.zillow.com/homedetails/52-Cottage-St-Hingham-MA-02043/56639211_zpid/
Hingham Square HM,1,,42.24147,-70.88339,Colonial,27 Water St,,Caleb Beal,Beal,"1,444,600",1832,3136,0.16,,https://www.zillow.com/homedetails/27-Water-St-Hingham-MA-02043/56639303_zpid/
Scituate,1,,42.19717845238775,-70.7248328737606,,196 Front St,,Joye,Boutique,,,,,"<div style=""text-align:center;"">Tucked beside the Town Pier overlooking Scituate Harbor, joye is more than your ordinary gift store. Filled with colorful scarves, bags, jewelry and handmade items, joye caters to the constant stream of curious shoppers with an eye for current trends but an appreciation for the classics.<br/><br/>Come take a peek….there’s always something fun and happy!</div>",http://www.joyegifts.com/
Norwell,1,,42.16144397597346,-70.79493092611567,,6 West St,,State Police Norwell,,,,,,"Norwell is primarily responsible for patrolling 26 miles of Route 3 from Braintree to Plymouth. This barracks also provides 68 miles of secondary patrol coverage of Routes 228, 3A, 123 and 53.",https://www.mass.gov/locations/state-police-norwell-barracks
Hingham,,,42.24375,-70.892,,21 Lincoln St,,The Old Ordinary,,,,,,"The Old Ordinary is a remarkable example of early American architectural and cultural history, built on the main road from Boston for stagecoach travelers to stop “for an ordinary meal” and a drink in the taproom. A home and family business, the Ordinary served local travelers for over 150 years as a meeting place to exchange news, celebrate events, see friends and sample the latest batch of cider. In addition to the 1686 House Museum, the property includes the Olmsted Garden, the Old Fort and the Arts and Crafts Annex. Open for tours and special events mid-June through September and again in November for the popular Candlelight Tours.",https://hinghamhistorical.org/old-ordinary/
North End,1,,42.3637,-71.05562,,93 Salem St,,Antico Forno,,,,,,"<div style=""text-align:left;""><strong>The Scene</strong><br/><br/>Owner Carla Gomes has found a great balance between down-home and downtown southern Italian food. The result? A restaurant serving top-notch food at prices that even students and families can afford. Antico Forno is loud, but still a charmer–this country mouse has all the right moves.<br/><br/><strong>The Food</strong><br/><br/>Most everything is cooked in a burning brick oven, as the restaurant's name implies (antico forno means ""old oven""). The salsiccia e broccoletti pizza is a marvel of fresh dough, bitter broccoli rabe, homemade sausage and buffalo mozzarella. And they're not kidding about the brick-oven thing; lamb, chicken dishes, even the mashed potatoes, have that caramelized, crispy crust that comes from searing with intense heat.</div>",https://www.anticofornoboston.com/
Scituate,1,,42.196383007568464,-70.72451540853552,,164 Front St,,Scituate Salt Cave,Salt Cave,,,,,"<strong>Salt Cave Therapy is a restorative, relaxing, must-have experience!</strong><br/><br/>When you step inside Scituate Salt Cave, you will be surrounded by 30,000 pounds of glowing pink salt sourced directly from the Himalayas. Immerse yourself in deep, detoxifying relaxation during a 45-minute session, restoring your mind while making your body feel more balanced.<br/><br/>We offer two beautifully constructed indoor salt caves, ranging in size to accommodate 2-12 guests. Recline on zero gravity chairs, or lay directly on the warmed, salted floor while you listen to peaceful ocean sounds and music, and inhale air infused with pharmaceutical-grade therapeutic salt.<br/><br/>Salt Therapy has so many amazing health benefits including boosting your immune system, reducing inflammation, coating your skin with the magical properties of salt just like a day at the beach, and expanding your lung capacity—helping you breathe easier.",http://www.scituatesaltcave.com/
Reeds Corner,1,,42.22165,-70.80438,,759 Chief Justice Cushing Hwy,,The UPS Store Reeds Corner,UPS Store,,,,,"<div><strong>Hours</strong></div><br/>
<div style=""white-space:pre"">
Sunday&#9;10:00 AM - 3:00 PM
Monday&#9;8:00 AM - 6:30 PM
Tuesday&#9;8:00 AM - 6:30 PM
Wednesday&#9;8:00 AM - 6:30 PM
Thursday&#9;8:00 AM - 6:30 PM
Friday&#9;&#9;8:00 AM - 6:30 PM
Saturday&#9;10:00 AM - 4:00 PM
</div>",https://locations.theupsstore.com/ma/cohasset/759-chief-justice-cushing-hwy?utm_source=Yext
Hingham Square,1,,42.24166,-70.88889,,29 Main St,,AZ Studio,Salon,,,,,"A unique and comfortable environment located in the heart of downtown Hingham, Massachusetts, specializing in professional salon services and exclusive and distinctive hair products.",https://www.azstudiohingham.com/
Fearing Farm HM,1,,42.24499,-70.88898,Queen Anne,43 Cottage St,,Glover Cottage,Glover,"6,420,700",1880,6388,1.51,,https://www.zillow.com/homedetails/43-Cottage-St-Hingham-MA-02043/56638345_zpid/
Hingham Shipyard,1,,42.2524058,-70.9220319,,22 Shipyard Dr,,Alma Nove,Fine Italian,,,,,"<strong>ABOUT ALMA NOVE</strong><br/><br/>
Founded by Executive Chef Paul Wahlberg, along with co-owners, celebrity brothers Mark and Donnie Wahlberg, Alma Nove is Hingham's premier waterfront restaurant inspired by a blend of flavors from Italy and the surrounding Mediterranean. Named after the Wahlberg family matriarch, Alma, and her nine (nove) children, the restaurant features an eclectic menu of antipasti, specialty pastas, fresh off the boat seafood, and chops prepared on a wood-burning grill.<br/><br/>
Intimately scaled, the 143-seat restaurant is framed by walls of glass and capped by a rotunda, dramatically lit by hand-blown glass orb lights. The adjacent bar and lounge area is equally impressive, with cozy seating and two 50-inch flat screen TVs making it the perfect place to meet friends or watch your favorite sports team. In season, the outdoor wrap-around patio beckons with the promise of warm sunshine by day, colorful sunsets over the water at dusk, and romantically lit firepit at night. Drop in for lunch, dinner, cocktails or a light bite, with small plate portions of menu items that encourage sampling and sharing.<br/><br/>
Savor the difference at Alma Nove, where the freshest and finest ingredients and wood-burning grill combine to create approachable food, impeccably prepared.<br/><br/>",https://www.almanovehingham.com/
Downtown Boston,1,,42.36175,-71.05697,,147 Hanover St,,The Point,,,,,,"<div style=""text-align:left;""><strong>Welcome To The Point!</strong><br/><br/>Located in the heart of Boston, this old-world style pub provides a familiar and warm hangout for new world friends. Come experience Boston like a local at ones of the cities oldest taverns.</div>",https://www.thepointboston.com/
Hingham Harbor,1,,42.245575099999996,-70.884182,,"99, 53 Summer St",,Whitney Wharf Park,Park,,,,,"<strong>Background</strong><br/><br/>
Whitney Wharf is located west of Veteran’s Park and just before
a rotary to the west on Route 3A. Amenities include memorials,
wayside signs, and a bench. A bridge connecting the wharf to the
Town Pier was installed in 2016. A parking lot that is between
Whitney Wharf and Veteran’s Park has been analyzed in the
Veteran’s Park report. ",http://hingham-ma.com/
Cohasset,1,,42.240899399999996,-70.8021021,,24 S Main St,,Seabird Coffee & Co.,Coffee,,,,,"At Seabird, we’re into coffee. We want to give you the best quality coffee, however you order it. For us, coffee’s more than what’s in your cup. It’s about community. It brings people together, it’s a reason to talk, to connect; a common ground.<br/><br/>For us, this sense of community goes beyond just the people that come through our doors. Our community also includes the hardworking farmers that are dedicated to growing unique, quality, and sustainable coffee. It includes those at Bellwether that connect us with these farmers for us to roast the coffee that’s served and sold in our shop.<br/><br/>Our goal is to help inspire you to take a moment each day to enjoy your coffee and your community and stay connected. After all, birds of a feather flock together.",http://seabirdcoffee.com/
North End,1,,42.36368,-71.0559,,78 Salem St,,Crudo,,,,,,"<div style=""text-align:left;""><strong>Crudo</strong>. A modern Japanese restaurant blending the art of sushi with modern local ingredients.<br/><br/>Located in the heart of Boston’s North End and historic “Little Italy”, Crudo dares to be different by offering diners Japanese inspired social plates with a blend of Pan Asian cuisine. Boasting two floors of dining as well as two different bars, Crudo, which is located at 78 Salem Street, provides diners who work or live in the neighborhood, with a refreshing new dining option. Serving traditional and contemporary Japanese dishes as well as freshly made sushi offerings, the kitchen of Crudo features industry veteran Chef “<strong>Kenichi Iwaoka</strong>” at its helm.</div>",http://crudoboston.com/
North Scituate,1,,42.21873,-70.78581,,776 Country Way,,Board 143,Cheese,,,,,"<div style=""text-align:center"">
Board143 is a local market that specializes in handcrafted cheese & charcuterie Boards, offers a wide assortment of the best of New England's local cheese, charcuterie, other essential provisions and a wide selection of craft beer, wine and spirits.<br/><br/>
Our focus is on finding the best locally sourced products whenever possible.
</div>",http://www.board143.com/?utm_source=google
South Hingham HM,3,,42.18431,-70.88411,First Period,1083 Main St,,Captain Enoch Whiton,Whiton,"1,028,700",1680,2878,0.94,"Enoch Whiton (1733-1777) was a cooper, like his father and grandfather. He served as a captain in a military unit during the Revolutionary War prior to his death. Captain Whiton’s company trained in the vicinity of what is now the Marchesiani Farmlands at 1126 Main Street.<br/><br/>His militia men were undoubtedly instrumental in the raising of a liberty pole not far north of their training grounds on October 16, 1774.  Their revolutionary activity was only beginning; Captain Whiton’s company mustered and marched on April 19, 1775, when word of Lexington arrived in Hingham.   ",
Hingham Harbor,1,,42.2442746,-70.8850885,,22 North St,,House Of Melville,Salon,,,,,"Welcome to Hingham House of Melville we are lucky to have you!<br/><br/>
<ul><li>Beautiful results</li><li>Professional hair products</li><li>Beautiful balayage</li><li>Great haircuts</li><li>Professional products</li><li>Amazing results</li></ul>
",
Crow Point,1,,42.24892,-70.90384,,184 Lincoln St,,Starbucks Crow Point,,,,,,"<div><strong>Hours</strong></div><br/>
<div style=""white-space:pre"">
Sunday&#9;5:30 AM - 7:00 PM
Monday&#9;4:30 AM - 7:00 PM
Tuesday&#9;4:30 AM - 7:00 PM
Wednesday&#9;4:30 AM - 7:00 PM
Thursday&#9;4:30 AM - 7:00 PM
Friday&#9;&#9;4:30 AM - 7:00 PM
Saturday&#9;5:30 AM - 7:00 PM
</div>",https://www.starbucks.com/store-locator/store/16670/
Beacon Hill,1,,42.3565,-71.06977,,20 Charles St,,Upper Crust,Restaurant,,,,,"<div style=""text-align:left;""><strong>SORT OF FAMOUS</strong><br/><br/>Pizza and Chicken</div>",https://theuppercrustpizzeria.com/
Scituate,1,,42.1942,-70.72555,,77 Front St,,Rockland Trust Bank,Bank,,,,,"Bank offering convenient branch and drive-up hours - open 7 days a week. Did you know that the name Scituate is derived from ""satuit"", the Wampanoag term for ""cold brook""? In fact, our Rockland Trust branch isn't far from where this brook runs to the inner harbor of town. We're located on Front Street, just a few blocks from Satuit Brook.",https://www.rocklandtrust.com/about-us/locations/scituate-ma?utm_source=extnet
East Hingham HM,1,,42.23997,-70.87121,Cape Cod,88 East St,,Richard Stoddard,Stoddard,"1,176,000",1775,1536,1.87,"Birth 17 July 1745 -- HIngham, Plymouth, Ma. Death 22 October 1819 (Age 74). Married Monica Marsh on 30 May 1773 (Birth 15 July 1750 Father 25, Mother 21 -- Hingham, Plymouth, Ma. Death 12 April 1810 (Age 59)). They had 6 children together.",https://www.zillow.com/homedetails/88-East-St-Hingham-MA-02043/56639784_zpid/
Scituate,1,,42.19731638303488,-70.72488154901923,,206 Front St,,Lucky Finn,Lunch,,,,,(781) 378-2932,https://www.luckyfinncafe.com/
Scituate,1,,42.195860154041426,-70.72469893427962,,"The mauralago building, 146 Front St",,Harbor Light Toys,Toys,,,,,"<strong>A Proud Part of Scituate Harbor</strong><br/><br/>This year's high school graduating class was just starting Kindergarten when Harbor Light Toys was founded in 2008. As they've grown, we've watched as they've assembled legions of stuffies, conquered the latest Lego set, mastered new board games, hosted sleepover spa nights, and decorated their teenage bedrooms.<br/><br/>With a change in ownership in 2018, we are excited to continue the legacy and remain involved in the local community; to find the coolest and most innovative toys and games; and to watch other generations of children head off to graduation for years to come.<br/><br/>Thank you for your support and we hope you come visit us soon.",https://www.harborlighttoys.com/
North End,1,,42.3646,-71.0533,,361 Hanover St,,Bencotto,,,,,,"<div style=""text-align:left;""><strong>Bencotto North End Boston</strong> is conveniently located on the corner of Hanover St., Bencotto North End Boston lets you feast on a bountiful array of Italian specialties.<br/><br/>The outstanding menu, featuring pasta, chicken, veal and seafood, highlights a spectrum of lavish Italian specialties that are sure to please discriminating palates. The open kitchen lets you in on the action behind the superb dishes, and you’ll enjoy their lavish fare amid a cozy, casual setting.</div>",http://www.bencottoboston.com/
West Hingham HM,1,,42.23958,-70.90071,Colonial,247 South St,,Noah Hersey,Hersey,"931,300",1753,2246,0.49,"The 1750 Noah Hersey House. The spread of the Hersey family throughout the neighborhood would later lead to a name change for Austen's Lane, which originally stretched between South and Elm streets, to Hersey Street around 1827. About Noah Hersey: Born on 24 Feb 1709/10 in Hingham, MA. Noah died in Hingham, MA, on 29 Jun 1755; he was 45.<br/><br/>Noad resided on South Street, Constable 1741. His was was dated 26 Jun 1755, proved 21 Jul 1755. On 12 Feb 1735 when Noah was 24, he married Alice Mitchell, daughter of Ens. Edward Mitchell (ca 1645-15 Mar 1716) & Alice Bradford (28 Jan 1677-14 Jul 1746), in Hingham, MA. Born on 23 Dec 1714 in Bridgewater, MA. Alice died in Hingham, MA, on 26 Dec 1779; she was 65. They had 6 children together.",https://www.redfin.com/MA/Hingham/247-South-St-02043/home/16363845
Hingham Square HM,1,,42.24289,-70.89472,Colonial,207 North St,,Simon Gross,Gross,"2,155,700",1698,5023,1.77,"Born 1650 in Boston; died 1696 in Hingham. His father Clement (1616-1683) emigrated from England to Boston. Simon fought in King Philip's War.His occupation was cordwainer, or shoemaker.",https://www.zillow.com/homedetails/207-North-St-Hingham-MA-02043/56639151_zpid/
